# Syllables word bank, source form. One word per line:
#
#     <band> <word split by hyphens, stressed syllable in CAPITALS>
#
# Example:  A ba-NA-na   ->  banana, syllables (ba, na, na), stress 1, band A
#
# scripts/build_syllables_bank.py turns this file into
# assets/words/syllables_bank.json, which the game loads. The build
# script validates every line: the chunks must join back to the
# spelling, every chunk must hold a vowel letter (the Year 1 rule
# AC9E1LY12: a syllable must contain a vowel sound), exactly one chunk
# carries the stress, 2 to 4 syllables, lower case a to z only, no
# duplicates. Any four-syllable word is forced to band C.
#
# Bands: A everyday words a young child meets daily, B words a child
# knows but meets less often, C rarer words and every four-syllable
# word.
#
# Splits follow spoken Australian pronunciation in the Macquarie
# convention, cut at the spelling boundary nearest the spoken one
# (rab-bit, not ra-bbit; ti-ger with the open first syllable). English
# syllable division in print is a convention, not a fact: Kearns
# (2020, Reading Research Quarterly) found the two taught rules fit
# 70.6 and 30.5 percent of applicable words. So the game never asks a
# child to place a boundary. It asks them to pick the chunk that was
# spoken, which is why one split per word is enough, and why the
# spoken syllable and the printed chunk have to agree exactly.
#
# PROVENANCE. Every line was written by hand for this project against
# ordinary Australian English usage. No word list, dictionary or
# corpus file was copied: not the Oxford Wordlist (copyright Oxford
# University Press, consulted as a reference idea only), not the
# Macquarie Dictionary (its splitting convention is a rule, not data),
# not SUBTLEX, cmudict or Moby Hyphenator. See LICENCE.txt beside this
# file, which also records the route to a larger bank built from those
# open sources if one is ever wanted.
#
# ADDING WORDS. Add the line to the right section, then run
#     python3 scripts/build_syllables_bank.py
# and commit this file and the regenerated JSON together.

# ---------------------------------------------------------------
# Two syllables
# ---------------------------------------------------------------
A AF-ter
A AIR-port
A AN-chor
A AN-gry
A AN-kle
A AN-swer
A AP-ple
A A-pron
A AU-tumn
A BA-by
A BACK-pack
A BA-con
B BAD-ger
B bam-BOO
B BAN-jo
A BAS-ket
A BATH-room
A BED-room
A BEE-tle
A be-FORE
A be-GIN
A be-HIND
A be-LOW
A BIS-cuit
A BLAN-ket
C BLIZ-zard
B BLOS-som
A BOT-tle
A BOX-es
A BREAK-fast
A BRO-ther
C BRUM-by
A BUB-ble
A BUCK-et
B BULL-frog
A BUT-ter
A BUT-ton
B CAB-bage
C CAC-tus
A CAM-el
A CAMP-ing
A CAN-dle
A CAP-tain
A CAR-pet
A CAR-rot
A CAS-tle
C CASH-ew
A CAT-tle
B CHEE-tah
A CHICK-en
B CHIL-ly
B CHIM-ney
A CIR-cle
A CLE-ver
A CLOUD-y
A COF-fee
B COT-tage
B COT-ton
A COU-sin
A CRAY-on
B CRICK-et
A CUP-board
A CUP-cake
A CUR-tain
A CUSH-ion
B DAI-sy
A DAN-cing
C DE-sert
B DIG-ger
B DIN-go
A DIN-ner
A DIR-ty
A DOC-tor
A DOL-lar
B DOL-phin
A DON-key
A DRA-gon
A DREAM-ing
A DRI-ver
A DUS-ty
B EA-gle
A EIGH-ty
A EL-bow
B E-mu
A EMP-ty
A EN-gine
A EN-ter
A E-ven
A FAR-mer
A FA-ther
A FEA-ther
A FIF-ty
A FIN-ger
A FIN-ish
A FLOW-er
A FOL-low
A FOOT-path
B FOR-est
A for-GET
A FOR-ty
A FREEZ-ing
A FRIEND-ly
A FUN-ny
A GA-rage
B GAR-lic
A GAR-den
C GEC-ko
A GEN-tle
B GIN-ger
A GI-ant
C GOB-lin
A GOLD-fish
A GRAN-ny
B gui-TAR
B HAM-mer
B HAM-ster
A HAN-dle
A HAP-pen
A HAP-py
B HAR-bour
A HEA-vy
A HEL-met
A HELP-ful
A HO-ney
A HOP-ping
C HOR-net
B ho-TEL
A HUN-dred
A HUN-gry
A HUS-band
B IS-land
B I-vy
A JA-cket
A JEL-ly
A JIG-saw
C JOE-y
A JUIC-y
A JUM-per
B JUN-gle
C KEL-pie
A KET-tle
A KEY-board
A KIT-chen
A KIT-ten
A LAD-der
A LA-dy
B LAN-tern
A LAP-top
A LEM-on
A LET-ter
B LET-tuce
A LIGHT-ning
A LI-on
A LIS-ten
A LIT-tle
B LIZ-ard
A LOL-ly
A LONE-ly
A LOVE-ly
A LUNCH-box
