participant,age,block,trial,lane,is_multi_lane,time_difference_ms,early_late,points,feedback,error_type,keys_pressed,correct_keys,num_presses,had_incorrect_press,first_incorrect_ms
0804_T6_heldown_newtongraphing_constantforce,22,pretest,1,v,FALSE,1013.31,Miss,-2,Miss!,timeout,,v,0,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,2,v,FALSE,1014.64,Miss,-2,Miss!,timeout,,v,0,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,3,v,FALSE,1015.63,Miss,-2,Miss!,timeout,,v,0,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,4,v,FALSE,1010.41,Miss,-2,Miss!,timeout,,v,0,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,5,v,FALSE,1010.36,Miss,-2,Miss!,timeout,,v,0,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,6,v,FALSE,1007.67,Miss,-2,Miss!,timeout,,v,0,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,7,v,FALSE,1002.57,Miss,-2,Miss!,timeout,,v,0,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,8,v,FALSE,1003.6,Miss,-2,Miss!,timeout,,v,0,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,9,v,FALSE,1002.47,Miss,-2,Miss!,timeout,,v,0,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,10,v,FALSE,1009.41,Miss,-2,Miss!,timeout,,v,0,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,11,v,FALSE,1004.26,Miss,-2,Miss!,timeout,,v,0,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,12,v,FALSE,1001.34,Miss,-2,Miss!,timeout,,v,0,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,13,v,FALSE,1014.5,Miss,-2,Miss!,timeout,,v,0,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,14,v,FALSE,1011.46,Miss,-2,Miss!,timeout,,v,0,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,15,v,FALSE,1006.39,Miss,-2,Miss!,timeout,,v,0,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,16,v,FALSE,1000.68,Miss,-2,Miss!,timeout,,v,0,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,17,v,FALSE,1004.99,Miss,-2,Miss!,timeout,,v,0,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,18,v,FALSE,1010.2,Miss,-2,Miss!,timeout,,v,0,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,19,v,FALSE,1005.94,Miss,-2,Miss!,timeout,,v,0,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,20,v,FALSE,761.13,Late,1,Late,,v,v,1,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,21,v,FALSE,163.8,Great,3,Great,,v,v,1,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,22,v,FALSE,133.26,Great,3,Great,,v,v,1,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,23,v,FALSE,147.59,Great,3,Great,,v,v,1,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,24,v,FALSE,166.66,Great,3,Great,,v,v,1,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,25,v,FALSE,181.69,Great,3,Great,,v,v,1,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,26,v,FALSE,166.03,Great,3,Great,,v,v,1,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,27,v,FALSE,194.75,Great,3,Great,,v,v,1,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,28,v,FALSE,132.74,Great,3,Great,,v,v,1,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,29,v,FALSE,179.99,Great,3,Great,,v,v,1,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,30,v,FALSE,181.01,Great,3,Great,,v,v,1,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,31,v,FALSE,212.22,Good,2,Good,,v,v,1,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,32,v,FALSE,180.91,Great,3,Great,,v,v,1,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,33,v,FALSE,181.47,Great,3,Great,,v,v,1,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,34,v,FALSE,224.9,Good,2,Good,,v,v,1,FALSE,
0804_T6_heldown_newtongraphing_constantforce,22,pretest,35,v,FALSE,199.6,Great,3,Great,,v,v,1,FALSE,
