lane,segment,mean_force,sd_force,cv_percent
0,1,62.72,62.77463415964725,100.08710803515186
0,2,171.94,11.834591290805449,6.8829773704812425
0,3,167.38,18.211781340435557,10.880500263135117
0,4,218.68,16.37748579044801,7.489247206167921
0,5,220.1,26.167630728806603,11.888973525127945
0,6,298.14,29.89437869484864,10.02696005059658
0,7,289.78,58.729851951150714,20.267048088601946
0,8,436.24,62.93357690486706,14.426365510926797
0,9,395.76,100.9614110965781,25.510766903319716
0,10,719,51.495987559166956,7.162167949814598
0,11,728.14,101.5074160355,13.940645485140221
0,12,23.714285714285715,9.46924847422786,39.930565855177726
